year,country_iso,country_name,trade_value,Country Name,Country Code,Indicator Name,Indicator Code,tax_rate,gdp_usd
2015,BRA,Brazil,339.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,140095047.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,5175719.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,168581909.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1739397278.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1115025.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,53151525.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,783978153.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1033731885.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1009435258.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1004478894.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1552756735.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,174755406.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,156585387.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,318140932.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,841730465.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,43574679.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1078692276.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,120925562.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,844839970.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,181664135.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,53727542.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,264500.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,134417272.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,128480400.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,2066349.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,883850.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,30356933.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,6.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,462482623.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,528535208.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,50870876.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,5909080.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1824198.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,61245222.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,471827.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,63854231.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,129104451.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,4145461148.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,23105798.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,62523.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,5079018.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1221598.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,11745878.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1108768011.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,37143918.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,27630344.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,2378056814.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,9915116.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,9247814.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,3521857.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,1247399.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,4160795.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,90714427.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,19996.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,11723783.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,12223986.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,5745995.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,208437122.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
2015,BRA,Brazil,45796709.0,Brazil,BRA,"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,8.27,1802212206814.5
